drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
jardiance,Blood glucose decreased,949,9.03,0.0,,,False,,False,1,Low — ROR only
humira,Neuritis,129,8.96,2.5400000000000002e-86,,,False,,False,1,Low — ROR only
humira,Blood calcium abnormal,58,8.88,4.13e-39,,,False,,False,1,Low — ROR only
zantac,Skin injury,126,8.88,1.15e-46,,,False,,False,1,Low — ROR only
humira,Lip haemorrhage,81,8.8,6.22e-54,,,False,,False,1,Low — ROR only
humira,Monoparesis,116,8.78,1.1e-76,,,False,,False,1,Low — ROR only
jardiance,Perineal pain,46,8.77,5.11e-43,,,False,,False,1,Low — ROR only
jardiance,Toe amputation,120,8.74,9.23e-111,,,False,,False,1,Low — ROR only
jardiance,Necrotising fasciitis,217,8.71,9.05e-199,,,False,,False,1,Low — ROR only
humira,Hepatic neoplasm,134,8.68,9.890000000000001e-88,,,False,,False,1,Low — ROR only
humira,Genital rash,76,8.68,3.48e-50,,,False,,False,1,Low — ROR only
humira,Vaccination complication,124,8.62,7.94e-81,,,False,,False,1,Low — ROR only
humira,Pruritus allergic,687,8.62,0.0,,,False,,False,1,Low — ROR only
humira,Lymphadenopathy mediastinal,106,8.61,3.37e-69,,,False,,False,1,Low — ROR only
humira,Intensive care,70,8.58,6.38e-46,,,False,,False,1,Low — ROR only
humira,Renal surgery,66,8.55,2.86e-43,,,False,,False,1,Low — ROR only
humira,Traumatic haematoma,33,8.55,4.67e-22,,,False,,False,1,Low — ROR only
humira,Haemarthrosis,161,8.54,5.11e-104,,,False,,False,1,Low — ROR only
humira,Granulomatous dermatitis,58,8.5,5.77e-38,,,False,,False,1,Low — ROR only
humira,Paranasal sinus hypersecretion,461,8.47,1.0999999999999999e-293,,,False,,False,1,Low — ROR only
humira,Gastric bypass,254,8.43,6.14e-162,,,False,,False,1,Low — ROR only
humira,Corrective lens user,75,8.42,1.57e-48,,,False,,False,1,Low — ROR only
humira,Musculoskeletal deformity,292,8.41,1.2600000000000001e-185,,,False,,False,1,Low — ROR only
humira,Purulence,317,8.38,7.17e-201,,,False,,False,1,Low — ROR only
humira,Rectal ulcer haemorrhage,31,8.36,1.9e-20,,,False,,False,1,Low — ROR only
humira,Procedural haemorrhage,253,8.32,9.660000000000001e-160,,,False,,False,1,Low — ROR only
jardiance,Cardiac operation,307,8.3,3.36e-269,,,False,,False,1,Low — ROR only
humira,Radiculopathy,1795,8.29,0.0,,,False,,False,1,Low — ROR only
humira,Meralgia paraesthetica,54,8.27,9.27e-35,,,False,,False,1,Low — ROR only
humira,Oesophageal achalasia,49,8.26,1.39e-31,,,False,,False,1,Low — ROR only
humira,Dental care,173,8.15,4.71e-108,,,False,,False,1,Low — ROR only
humira,Lymphoedema,530,8.1,0.0,,,False,,False,1,Low — ROR only
humira,Vertebral foraminal stenosis,102,8.09,8.82e-64,,,False,,False,1,Low — ROR only
jardiance,Faeces hard,150,8.09,4.17e-129,,,False,,False,1,Low — ROR only
humira,Coccidioidomycosis,98,8.05,3.85e-61,,,False,,False,1,Low — ROR only
humira,Loose body in joint,190,8.05,1.67e-117,,,False,,False,1,Low — ROR only
humira,Marrow hyperplasia,43,8.05,2.4500000000000002e-27,,,False,,False,1,Low — ROR only
humira,Scrotal pain,37,8.04,1.2499999999999999e-23,,,False,,False,1,Low — ROR only
humira,Mineral metabolism disorder,62,8.04,5.65e-39,,,False,,False,1,Low — ROR only
humira,Skin discharge,204,8.04,6.37e-126,,,False,,False,1,Low — ROR only
zantac,Breast disorder,128,8.0,5.5699999999999995e-45,,,False,,False,1,Low — ROR only
humira,Atrioventricular block second degree,33,7.94,5.6200000000000006e-21,,,False,,False,1,Low — ROR only
jardiance,Abdominal mass,118,7.93,5.81e-100,,,False,,False,1,Low — ROR only
humira,Diabetic foot,81,7.91,4.63e-50,,,False,,False,1,Low — ROR only
humira,Osteosarcoma,93,7.74,2.11e-56,,,False,,False,1,Low — ROR only
humira,Carbon dioxide abnormal,86,7.73,3.4899999999999995e-52,,,False,,False,1,Low — ROR only
humira,Cardiac fibrillation,47,7.73,6.11e-29,,,False,,False,1,Low — ROR only
humira,Computerised tomogram thorax abnormal,32,7.7,6.26e-20,,,False,,False,1,Low — ROR only
humira,Adenocarcinoma,56,7.7,3.11e-34,,,False,,False,1,Low — ROR only
humira,Larynx irritation,32,7.7,6.26e-20,,,False,,False,1,Low — ROR only
